date,country,isolation
2020-03-24,RU-TUL,1.2
2020-03-25,RU-TUL,1.1
2020-03-26,RU-TUL,1.1
2020-03-27,RU-TUL,1.1
2020-03-28,RU-TUL,2.8
2020-03-29,RU-TUL,3.3
2020-03-30,RU-TUL,2.9
2020-03-31,RU-TUL,3.3
2020-04-01,RU-TUL,3.3
2020-04-02,RU-TUL,3.2
2020-04-03,RU-TUL,3.0
2020-04-04,RU-TUL,3.3
2020-04-05,RU-TUL,3.7
2020-04-06,RU-TUL,2.6
2020-04-07,RU-TUL,2.6
2020-04-08,RU-TUL,2.5
2020-04-09,RU-TUL,2.3
2020-04-10,RU-TUL,2.3
2020-04-11,RU-TUL,3.0
2020-04-12,RU-TUL,3.4
2020-04-13,RU-TUL,2.2
2020-04-14,RU-TUL,2.3
2020-04-15,RU-TUL,2.2
2020-04-16,RU-TUL,2.4
2020-04-17,RU-TUL,2.4
2020-04-18,RU-TUL,3.2
2020-04-19,RU-TUL,3.7
2020-02-23,RU-YAR,2.8
2020-02-24,RU-YAR,2.8
2020-02-25,RU-YAR,0.7
2020-02-26,RU-YAR,0.7
2020-02-27,RU-YAR,0.7
2020-02-28,RU-YAR,0.7
2020-02-29,RU-YAR,2.3
2020-03-01,RU-YAR,2.8
2020-03-02,RU-YAR,0.8
2020-03-03,RU-YAR,0.7
2020-03-04,RU-YAR,0.6
2020-03-05,RU-YAR,0.6
2020-03-06,RU-YAR,0.7
2020-03-07,RU-YAR,2.2
2020-03-08,RU-YAR,2.6
2020-03-09,RU-YAR,2.8
2020-03-10,RU-YAR,0.7
2020-03-11,RU-YAR,0.7
2020-03-12,RU-YAR,0.6
2020-03-13,RU-YAR,0.7
2020-03-14,RU-YAR,2.2
2020-03-15,RU-YAR,2.8
2020-03-16,RU-YAR,0.7
2020-03-17,RU-YAR,0.7
2020-03-18,RU-YAR,0.9
2020-03-19,RU-YAR,1.0
2020-03-20,RU-YAR,1.0
2020-03-21,RU-YAR,2.5
2020-03-22,RU-YAR,3.1
2020-03-23,RU-YAR,1.2
2020-03-24,RU-YAR,1.1
2020-03-25,RU-YAR,1.1
2020-03-26,RU-YAR,1.1
